date,5RLST,S5COND,S5CONS,S5HLTH,S5INDU,S5INFT,S5MATR,S5TELS,S5UTIL,SPF,SPN,SP500,SP1500
2014-08-18,0.009849663037843293,0.008608698921093172,0.005857155345746934,0.007651387162982859,0.015321038401512332,0.010612534513875005,0.00967309411313999,-0.0011370096645821892,-0.0016969925520882168,0.010762243285939999,0.0028136827822609067,0.00853170746677856,0.009023554130266564
2014-08-19,0.0021674652064795907,0.007622064852776722,0.00223796280201638,0.006554060607740109,0.0024031175579128927,0.006853183143306296,0.00347804091440862,-0.002592803389616094,0.012324109925394122,0.0014978346520790886,0.007277958183786293,0.005000659316136913,0.005041316879643931
2014-08-20,0.0033010813887308643,0.005067598808929041,-6.503783033795507e-05,0.00012389526720091304,0.009827001576639738,-3.0318649000937725e-05,0.0014179033935153296,0.001965508496069024,0.0022389103969402413,0.0029586760737394524,0.0020078333781088364,0.002477795720629894,0.002224500032713239
2014-08-21,0.0007941910596778179,-0.0009016800691900029,0.0011924377764287453,0.0011149192715862455,-0.0002780391821370909,0.005124007034139844,-0.0021710402114404337,0.0020249319749414685,0.0023735281798296093,0.011151452282157637,2.8222676920819367e-05,0.002949897055640305,0.0028723751496029237
2014-08-22,-0.0071987303026866956,0.0012156039341362224,-0.0017756989107602372,4.124731892418687e-05,-0.004278715529598021,0.0001809900153841859,-0.003973134045974769,-0.0039785285759393885,-0.0029250626799145474,-0.003494485765580979,-0.00650514343770725,-0.0019926017757744274,-0.001844337882700109
2014-08-25,-0.0006280331144733475,0.0027409860191316415,0.0052064125648090265,0.0072179830892966645,0.003459166791998758,0.0001507977199384225,0.003704055465856282,0.006023332487953281,0.006239813736903299,0.008236013254833807,0.007882850893389914,0.004787769060551117,0.004521542541628731
2014-08-26,-0.00017138939670935383,0.0005503678291658431,-0.0006905928307832099,0.004122304122304188,-0.0033401849948612172,0.000799107412098099,0.001135503406510141,0.0005041910884227008,-0.011291591466518591,0.002648457193911824,0.005185947210439412,0.0010510931368623577,0.0014282622808914347
2014-08-27,0.001999885720816108,0.0009717816608298957,0.0006478781988985549,1.3593975150216764e-05,-0.0003652144023373882,-0.0005574219985838846,9.451795841219912e-05,0.004472440944881972,0.009220688041188918,-0.0015912418051047261,-0.0009813680270296388,4.999950000494913e-05,-0.00010804736796610204
2014-08-28,-0.0007983576642336399,-0.0020882180539273376,-0.00019423761735193334,-0.0013457852452999353,-0.002836818465109303,-0.0022007838408198976,0.00047254512805960935,0.0,0.006771171505426166,-0.004303200306005395,-0.0004490660828808668,-0.0016898986060835952,-0.001880227356227504
2014-08-29,0.004394475516493523,5.506810088462544e-05,0.0011440659672754538,0.004029184362408955,2.155218862465169e-05,0.004486811493488618,0.0016058945777441824,0.006960993352564726,0.00746268656716409,0.005186157441495753,0.0048436688334481115,0.0033204122720034146,0.0035943183786593114
2014-09-02,-0.00034092846184441417,0.0017620821937924802,-0.0004743526164859846,0.0002033622559651782,0.0020905172413794304,0.0013836459069649365,-0.003866830142412403,-0.0025534035000310817,-0.010196616369455791,0.003630688875441823,-0.012462974347510314,-0.0005440832197746159,-2.1574973031235345e-05
2014-09-03,0.0016483828795543776,-0.0031881561830074956,0.0009707271825183383,0.004066418163334529,-0.0007957502634579061,-0.0070888965651894065,0.0017673420438049092,0.0028096903096903603,0.005543493324710047,-0.001237584488941068,0.003112620260328214,-0.0007791118125336505,-0.0010571964875186746
